Winner;Moves;Time;P1 time;P2 time
2 ;15 ;3146 ;154 ;65 
2 ;19 ;2265 ;79 ;43 
2 ;19 ;2943 ;100 ;59 
0 ;21 ;2062 ;64 ;37 
1 ;19 ;6901 ;194 ;189 
1 ;18 ;4469 ;147 ;115 
2 ;15 ;3145 ;154 ;65 
2 ;15 ;3131 ;153 ;65 
1 ;18 ;4473 ;147 ;115 
0 ;21 ;2063 ;61 ;39 
1 ;18 ;4458 ;145 ;117 
1 ;18 ;4474 ;144 ;118 
1 ;18 ;4458 ;144 ;118 
2 ;19 ;2281 ;75 ;48 
1 ;19 ;6901 ;198 ;185 
2 ;19 ;2937 ;99 ;60 
1 ;8 ;7761 ;375 ;732 
0 ;21 ;2062 ;61 ;39 
2 ;19 ;2943 ;99 ;60 
1 ;8 ;7755 ;379 ;728 
-----------;------------
moves;17.35
times;4031.4
timeP1Move;148.6
timeP2Move;149.85
AlphaBeta;9
AlphaBeta;8
draws;3
