Winner;Moves;Time;P1 time;P2 time
2 ;15 ;1344 ;53 ;39 
2 ;12 ;1656 ;100 ;45 
2 ;17 ;2990 ;115 ;67 
2 ;15 ;1344 ;55 ;37 
2 ;17 ;2990 ;120 ;62 
2 ;12 ;1656 ;99 ;46 
2 ;13 ;703 ;31 ;25 
2 ;13 ;693 ;30 ;25 
2 ;19 ;1093 ;38 ;21 
2 ;12 ;1672 ;99 ;48 
2 ;18 ;547 ;15 ;15 
2 ;19 ;1109 ;38 ;22 
2 ;12 ;1662 ;100 ;46 
1 ;13 ;2484 ;135 ;71 
2 ;19 ;1110 ;40 ;20 
1 ;13 ;2489 ;137 ;70 
2 ;12 ;1656 ;99 ;46 
2 ;19 ;1099 ;40 ;19 
2 ;18 ;563 ;18 ;14 
1 ;13 ;2484 ;134 ;72 
-----------;------------
moves;15.05
times;1567.2
timeP1Move;74.8
timeP2Move;40.5
AlphaBeta;3
AlphaBeta;17
draws;0
