Winner;Moves;Time;P1 time;P2 time
1 ;16 ;297 ;11 ;8 
1 ;16 ;296 ;9 ;10 
1 ;7 ;329 ;34 ;20 
1 ;16 ;296 ;9 ;10 
1 ;16 ;297 ;8 ;11 
1 ;21 ;787 ;24 ;14 
1 ;7 ;343 ;28 ;28 
1 ;21 ;766 ;22 ;15 
1 ;21 ;781 ;24 ;14 
1 ;19 ;500 ;13 ;13 
2 ;18 ;297 ;8 ;8 
1 ;19 ;500 ;14 ;12 
1 ;21 ;781 ;22 ;16 
1 ;12 ;250 ;11 ;11 
1 ;16 ;297 ;9 ;10 
1 ;12 ;255 ;11 ;11 
1 ;21 ;782 ;24 ;14 
1 ;12 ;250 ;12 ;10 
1 ;7 ;343 ;28 ;28 
1 ;7 ;328 ;34 ;20 
-----------;------------
moves;15.25
times;438.75
timeP1Move;17.75
timeP2Move;14.15
AlphaBeta;19
AlphaBeta;1
draws;0
