depth;moves;time;P1 times;P2 times;p1 win;p2 win;draws
1;4.1;0.75;0.25;0.0;20;0;0
2;11.0;9.35;0.7;0.2;13;7;0
3;5.85;4.65;0.6;0.35;15;5;0
4;17.4;36.0;1.05;0.55;5;8;7
5;12.4;90.6;3.9;3.3;13;7;0
6;15.25;438.75;17.75;14.15;19;1;0
7;15.05;1567.2;74.8;40.5;3;17;0
8;17.35;4031.4;148.6;149.85;9;8;3
9;12.7;19968.7;1109.7;663.2;10;10;0
10;18.45;56277.0;1958.8;1239.85;6;12;2
