Winner;Moves;Time;P1 time;P2 time
2 ;11 ;36603 ;2129 ;1391 
1 ;9 ;19910 ;1634 ;854 
2 ;11 ;36598 ;2129 ;1391 
1 ;14 ;5615 ;303 ;128 
2 ;12 ;3099 ;157 ;113 
1 ;9 ;20021 ;1650 ;852 
2 ;20 ;45405 ;1416 ;925 
1 ;14 ;7739 ;379 ;216 
1 ;14 ;5614 ;302 ;129 
2 ;12 ;3099 ;156 ;114 
1 ;9 ;19911 ;1630 ;858 
2 ;12 ;3099 ;154 ;116 
2 ;12 ;3109 ;159 ;113 
2 ;20 ;45390 ;1419 ;920 
2 ;11 ;36587 ;2129 ;1390 
1 ;14 ;5630 ;302 ;131 
2 ;11 ;36582 ;2127 ;1391 
1 ;9 ;19911 ;1638 ;850 
1 ;21 ;25557 ;745 ;532 
1 ;9 ;19895 ;1636 ;850 
-----------;------------
moves;12.7
times;19968.7
timeP1Move;1109.7
timeP2Move;663.2
AlphaBeta;10
AlphaBeta;10
draws;0
