depth;moves;time;P1 times;P2 times;p1 win;p2 win;draws
1;4.2;0.0;0.0;0.0;10;0;0
2;11.5;3.2;0.4;0.0;5;5;0
3;6.1;6.2;0.0;0.8;7;3;0
4;16.8;90.6;3.1;1.9;4;3;3
5;12.8;595.9;28.0;23.0;6;4;0
6;15.1;4022.8;161.6;134.5;10;0;0
7;15.8;24039.0;886.7;703.7;0;10;0
