Winner;Moves;Time;P1 time;P2 time
2 ;9 ;516 ;42 ;19 
1 ;13 ;625 ;29 ;22 
1 ;13 ;609 ;28 ;22 
1 ;13 ;625 ;25 ;26 
2 ;20 ;787 ;23 ;16 
2 ;20 ;765 ;20 ;18 
1 ;7 ;328 ;25 ;29 
2 ;9 ;516 ;31 ;29 
1 ;11 ;563 ;29 ;26 
1 ;13 ;625 ;28 ;23 
-----------;------------
moves;12.8
times;595.9
timeP1Move;28.0
timeP2Move;23.0
MinMax;6
MinMax;4
draws;0
