MM;moves winner;time game;AB time;MM time;AB win;MM win;draws
1;8.2;173.5;24.6;0.0;10;0;0
2;13.4;323.9;27.3;0.0;9;1;0
3;11.3;193.8;21.3;0.3;10;0;0
4;12.4;397.3;33.2;3.8;9;0;1
5;17.7;666.1;25.0;15.9;6;4;0
6;17.2;1561.3;12.2;91.2;6;0;4
7;18.3;10294.4;23.8;549.8;2;6;2
