MM;moves winner;time game;AB time;MM time;AB win;MM win;draws
1;6.4;391.1;74.1;0.0;10;0;0
2;13.2;503.7;52.1;0.1;9;0;1
3;11.6;483.4;56.4;0.2;10;0;0
4;15.0;473.9;31.3;2.0;10;0;0
5;15.4;1471.8;99.3;17.8;8;0;2
6;15.5;1823.3;38.6;88.0;5;3;2
7;17.3;9474.8;37.6;560.3;8;1;1
