MM;moves winner;time game;AB time;MM time;AB win;MM win;draws
1;8.7;0.0;0.0;0.0;10;0;0
2;20.6;1.5;0.0;0.0;1;1;8
3;16.2;6.3;0.0;0.2;9;1;0
4;18.4;31.7;0.0;1.1;3;7;0
5;17.0;192.2;0.0;11.7;0;8;2
6;16.2;1222.9;0.0;77.5;1;8;1
7;13.2;8289.8;0.0;626.8;0;10;0
