MM;moves winner;time game;AB time;MM time;AB win;MM win;draws
1;6.4;0.0;0.0;0.0;5;5;0
2;11.0;1.6;0.0;0.2;0;10;0
3;8.4;3.1;0.0;0.5;0;10;0
4;7.0;20.3;0.0;2.5;0;10;0
5;8.8;148.9;0.0;17.2;0;10;0
6;10.2;1008.9;0.0;105.5;0;10;0
7;7.5;6402.8;0.0;880.0;0;10;0
