MM;moves winner;time game;AB time;MM time;AB win;MM win;draws
1;6.9;3.2;0.4;0.0;10;0;0
2;16.7;6.2;0.0;0.0;6;4;0
3;17.1;7.8;0.0;0.2;5;0;5
4;18.6;40.6;0.0;1.3;1;7;2
5;15.7;207.9;0.3;13.1;4;6;0
6;17.5;1218.7;0.1;72.2;1;6;3
7;16.4;7239.8;0.2;490.0;2;8;0
