MM;moves winner;time game;AB time;MM time;AB win;MM win;draws
1;7.4;35.9;5.5;0.0;10;0;0
2;10.3;37.5;4.9;0.0;7;3;0
3;12.0;42.2;4.4;0.0;7;3;0
4;18.0;89.0;2.2;1.6;7;2;1
5;17.3;234.5;3.1;10.7;9;1;0
6;18.3;1424.9;3.5;79.5;5;1;4
7;17.9;7334.5;2.1;416.2;0;8;2
