MM;moves winner;time game;AB time;MM time;AB win;MM win;draws
1;9.5;5272.2;649.0;0.0;10;0;0
2;13.8;5618.5;514.7;0.0;10;0;0
3;11.8;7158.7;769.5;0.4;9;1;0
4;18.1;7696.9;458.0;1.7;8;0;2
5;16.2;18441.5;1320.6;15.4;5;5;0
6;16.9;6957.1;345.1;90.6;10;0;0
7;15.1;14678.5;537.7;581.0;9;0;1
