Winner;Moves;Time;P1 time;P2 time
2 ;17 ;6401 ;2 ;373 
2 ;14 ;11557 ;6 ;819 
2 ;17 ;6411 ;1 ;375 
0 ;21 ;8369 ;1 ;397 
2 ;19 ;6525 ;4 ;339 
2 ;17 ;6676 ;1 ;390 
0 ;21 ;8339 ;3 ;394 
2 ;19 ;6536 ;1 ;342 
2 ;17 ;6682 ;2 ;390 
2 ;17 ;5849 ;0 ;343 
-----------;------------
moves;17.9
times;7334.5
timeP1Move;2.1
timeP2Move;416.2
AlphaBeta;0
MinMax;8
draws;2
