MM;moves winner;time game;AB time;MM time;AB win;MM win;draws
1;6.0;0.0;0.0;0.0;10;0;0
2;7.6;1.6;0.3;0.0;10;0;0
3;6.8;4.7;0.0;0.7;10;0;0
4;15.6;35.9;0.0;1.7;0;8;2
5;16.9;266.1;0.0;16.5;2;4;4
6;15.0;1352.6;0.1;95.5;0;10;0
7;14.2;8211.6;0.1;638.9;0;8;2
