MM;moves winner;time game;AB time;MM time;AB win;MM win;draws
1;8.4;2099.4;265.7;0.0;10;0;0
2;14.3;3235.8;237.0;0.1;10;0;0
3;13.9;2293.1;180.7;0.1;10;0;0
4;13.5;4216.5;309.4;2.4;10;0;0
5;15.0;7420.1;636.3;18.8;7;3;0
6;16.1;4848.7;243.1;117.9;10;0;0
7;16.6;15215.1;368.6;650.1;5;5;0
