MM;moves winner;time game;AB time;MM time;AB win;MM win;draws
1;5.6;3.1;0.7;0.0;10;0;0
2;14.4;4.7;0.3;0.0;6;1;3
3;14.1;12.5;0.0;0.4;8;0;2
4;18.7;54.7;0.1;2.5;5;5;0
5;13.6;290.6;0.5;20.7;1;8;1
6;14.8;2360.4;0.9;162.2;3;7;0
7;14.6;13451.1;0.3;977.5;3;7;0
