MM;moves winner;time game;AB time;MM time;AB win;MM win;draws
1;7.2;6692.5;1022.8;0.0;10;0;0
2;11.4;9672.4;996.9;0.0;10;0;0
3;11.7;8213.3;845.3;0.3;10;0;0
4;17.5;7171.5;443.1;2.1;6;4;0
5;17.9;16716.8;902.7;16.7;7;3;0
6;17.0;10210.2;548.0;139.6;6;0;4
7;17.1;27341.8;785.8;904.4;6;4;0
