MM;moves winner;time game;AB time;MM time;AB win;MM win;draws
1;4.5;0.0;0.0;0.0;5;5;0
2;6.0;0.0;0.0;0.0;1;9;0
3;5.6;4.7;0.0;0.9;0;10;0
4;4.6;18.7;0.0;3.7;0;10;0
5;5.7;153.6;0.0;27.0;0;10;0
6;4.6;892.7;0.0;195.3;0;10;0
7;4.8;6554.0;0.0;1419.6;0;10;0
