MM;moves winner;time game;AB time;MM time;AB win;MM win;draws
1;7.4;0.0;0.0;0.0;10;0;0
2;19.4;1.6;0.0;0.0;2;2;6
3;15.4;7.8;0.1;0.3;7;1;2
4;14.1;45.3;0.0;2.9;2;8;0
5;16.6;268.8;0.0;17.0;1;4;5
6;17.6;2338.4;0.0;136.6;3;6;1
7;12.2;12059.0;0.0;1043.5;2;8;0
