MM;moves winner;time game;AB time;MM time;AB win;MM win;draws
1;5.2;397.9;92.9;0.0;10;0;0
2;9.4;712.0;103.0;0.0;10;0;0
3;11.3;659.8;79.2;1.0;10;0;0
4;18.5;1070.8;59.3;3.1;6;1;3
5;14.8;2383.0;173.4;26.1;9;0;1
6;18.1;3037.7;53.2;119.8;5;5;0
7;16.2;19228.7;232.1;978.7;1;9;0
