MM;moves winner;time game;AB time;MM time;AB win;MM win;draws
1;5.0;29.7;6.9;0.0;10;0;0
2;9.1;48.4;7.4;0.0;8;0;2
3;7.6;45.2;7.3;0.1;9;1;0
4;17.9;134.4;3.9;2.7;9;1;0
5;18.3;427.1;6.4;18.4;6;2;2
6;17.5;2397.8;5.6;131.1;0;8;2
7;15.9;13403.3;9.7;913.2;0;10;0
