Winner;Moves;Time;P1 time;P2 time
2 ;16 ;13108 ;1 ;818 
2 ;15 ;14844 ;1 ;988 
2 ;16 ;13109 ;2 ;817 
2 ;8 ;12322 ;2 ;1538 
2 ;11 ;16421 ;6 ;1487 
2 ;16 ;12516 ;3 ;779 
2 ;10 ;14212 ;1 ;1419 
2 ;11 ;16991 ;3 ;1541 
2 ;15 ;14265 ;0 ;951 
2 ;15 ;14828 ;1 ;987 
-----------;------------
moves;13.3
times;14261.6
timeP1Move;2.0
timeP2Move;1132.5
AlphaBeta;0
MinMax;10
draws;0
