MM;moves winner;time game;AB time;MM time;AB win;MM win;draws
1;5.7;164.0;35.8;0.0;10;0;0
2;14.1;286.5;23.3;0.1;10;0;0
3;9.1;159.4;22.5;0.6;10;0;0
4;15.3;469.2;28.4;3.1;7;1;2
5;17.6;817.0;24.6;23.0;6;1;3
6;19.1;2096.2;14.1;95.0;0;5;5
7;14.7;14419.2;31.4;996.6;2;8;0
