AB;moves winner;time game;MM time;AB time;MM win;AB win;draws
1;5.6;677.5;144.6;0.0;10;0;0
2;8.6;716.2;117.8;0.0;9;0;1
3;10.0;990.1;120.5;0.3;7;2;1
4;15.6;1479.6;108.5;0.4;5;5;0
5;17.0;1421.9;94.9;2.2;7;0;3
6;17.2;1934.8;109.8;10.3;0;8;2
7;13.5;2122.3;137.9;44.1;0;10;0
8;15.5;3794.7;103.8;148.2;3;7;0
9;12.5;10669.8;136.7;824.7;0;10;0
10;17.7;39600.0;107.8;2072.0;0;10;0
