AB;moves winner;time game;MM time;AB time;MM win;AB win;draws
1;5.1;3.1;0.7;0.0;10;0;0
2;10.2;3.1;0.4;0.0;7;1;2
3;8.8;6.3;0.6;0.0;7;3;0
4;14.4;14.0;0.1;0.5;5;5;0
5;15.6;42.2;0.1;2.2;1;7;2
6;12.1;130.2;0.5;9.3;1;9;0
7;11.4;559.9;0.2;52.9;0;10;0
8;8.8;1337.5;0.3;196.2;0;10;0
9;8.7;4841.1;0.0;684.4;0;10;0
10;12.0;20104.5;1.0;1902.9;0;10;0
