AB;moves winner;time game;MM time;AB time;MM win;AB win;draws
1;5.7;18.8;3.7;0.0;10;0;0
2;14.7;34.3;2.1;0.0;7;2;1
3;15.9;39.6;2.3;0.0;8;0;2
4;18.1;46.9;1.9;0.3;5;5;0
5;17.9;79.7;1.6;2.2;1;7;2
6;13.3;228.1;1.9;14.5;4;6;0
7;13.6;733.8;2.7;56.1;1;9;0
8;12.8;1709.3;2.3;140.4;4;6;0
9;11.8;6775.9;3.0;686.2;0;10;0
10;13.9;27358.4;3.0;1787.2;0;10;0
