Winner;Moves;Time;P1 time;P2 time
2 ;13 ;10354 ;23 ;774 
2 ;10 ;6239 ;28 ;598 
2 ;7 ;16942 ;26 ;2397 
1 ;17 ;7834 ;18 ;471 
2 ;7 ;17503 ;21 ;2482 
1 ;17 ;7834 ;17 ;471 
2 ;7 ;17520 ;20 ;2485 
2 ;10 ;5739 ;19 ;556 
2 ;13 ;5708 ;18 ;422 
2 ;10 ;6224 ;27 ;597 
-----------;------------
moves;11.1
times;10189.7
timeP1Move;21.7
timeP2Move;1125.3
MinMax;2
AlphaBeta;8
draws;0
