AB;moves winner;time game;MM time;AB time;MM win;AB win;draws
1;6.0;5649.3;1121.2;0.0;10;0;0
2;14.4;10318.3;830.2;0.0;10;0;0
3;9.9;6726.9;812.3;0.2;10;0;0
4;18.8;12264.4;708.5;0.3;2;6;2
5;15.8;10889.3;756.9;2.9;6;2;2
6;18.8;10962.7;608.5;9.5;2;4;4
7;13.9;11308.5;840.9;58.1;1;9;0
8;17.4;10998.4;610.6;108.3;0;7;3
9;16.5;20166.4;708.5;568.5;0;9;1
10;16.8;77639.6;741.2;3891.2;0;10;0
