AB;moves winner;time game;MM time;AB time;MM win;AB win;draws
1;4.0;556.8;185.5;0.0;10;0;0
2;7.2;932.2;167.7;0.0;8;2;0
3;9.2;1409.4;167.7;0.4;10;0;0
4;15.9;2027.0;137.6;1.0;4;6;0
5;13.8;2193.1;174.2;2.3;9;1;0
6;17.4;2120.8;115.6;15.5;2;8;0
7;17.9;2976.4;115.3;56.6;0;9;1
8;16.9;5970.1;146.2;212.1;0;10;0
9;15.5;17047.9;161.7;986.5;0;10;0
10;16.4;75099.8;137.6;4783.7;2;8;0
