AB;moves winner;time game;MM time;AB time;MM win;AB win;draws
1;4.1;0.0;0.0;0.0;10;0;0
2;6.1;0.0;0.0;0.0;3;7;0
3;5.6;0.0;0.0;0.0;4;6;0
4;8.2;10.9;0.0;1.4;3;7;0
5;6.4;39.1;0.0;6.1;0;10;0
6;7.2;104.7;0.1;13.9;0;10;0
7;7.2;511.5;0.0;93.3;0;10;0
8;5.8;2831.1;0.0;553.3;0;10;0
9;5.6;14852.1;0.0;2795.2;0;10;0
10;8.0;62846.8;0.0;10790.1;0;10;0
