AB;moves winner;time game;MM time;AB time;MM win;AB win;draws
1;4.0;82.8;27.0;0.5;10;0;0
2;6.6;156.3;27.6;0.0;6;4;0
3;6.1;153.6;27.7;0.5;10;0;0
4;17.4;332.8;19.3;0.6;7;3;0
5;13.6;397.4;27.0;4.4;3;7;0
6;14.7;567.7;22.7;19.6;2;8;0
7;14.1;1285.9;23.0;85.3;0;10;0
8;16.3;4306.1;21.8;245.1;0;10;0
9;12.5;12360.4;30.1;951.3;0;10;0
10;13.1;60634.7;28.4;4839.5;0;10;0
