AB;moves winner;time game;MM time;AB time;MM win;AB win;draws
1;4.7;5044.1;1339.3;0.0;10;0;0
2;12.6;11744.3;1119.2;0.0;7;3;0
3;10.8;9186.6;1061.7;0.2;10;0;0
4;16.9;13289.7;874.4;1.0;9;1;0
5;13.8;14610.8;1200.6;3.3;4;5;1
6;16.3;13599.9;921.3;18.5;8;2;0
7;17.2;11893.2;763.0;47.0;0;7;3
8;17.8;19008.2;910.2;230.4;2;7;1
9;16.2;27669.3;1045.1;803.3;0;10;0
10;16.8;57399.8;825.5;2606.6;1;9;0
