AB;moves winner;time game;MM time;AB time;MM win;AB win;draws
1;4.2;0.0;0.0;0.0;10;0;0
2;10.0;1.5;0.0;0.1;8;2;0
3;11.2;3.2;0.0;0.2;6;4;0
4;13.5;12.5;0.1;0.6;6;3;1
5;16.0;51.6;0.1;2.5;3;5;2
6;11.3;255.2;0.1;22.6;0;10;0
7;15.7;1274.4;0.2;75.1;1;9;0
8;10.9;2314.3;0.3;217.4;2;8;0
9;14.1;22971.6;0.1;1725.5;0;10;0
10;12.2;98830.3;0.0;9443.5;0;10;0
