Winner;Moves;Time;P1 time;P2 time
2 ;19 ;12748 ;684 ;22 
2 ;17 ;8776 ;489 ;55 
2 ;10 ;13390 ;1359 ;115 
0 ;21 ;11010 ;523 ;25 
2 ;17 ;13026 ;776 ;35 
2 ;17 ;12453 ;741 ;34 
2 ;19 ;12744 ;682 ;23 
0 ;21 ;10468 ;497 ;24 
2 ;10 ;13354 ;1358 ;112 
0 ;21 ;10963 ;521 ;25 
-----------;------------
moves;17.2
times;11893.2
timeP1Move;763.0
timeP2Move;47.0
MinMax;0
AlphaBeta;7
draws;3
