Winner;Moves;Time;P1 time;P2 time
1 ;12 ;9963 ;261 ;644 
2 ;13 ;20223 ;402 ;1183 
2 ;18 ;14103 ;328 ;473 
2 ;16 ;10104 ;201 ;442 
2 ;16 ;10088 ;205 ;438 
2 ;16 ;10104 ;207 ;437 
2 ;16 ;10088 ;202 ;441 
2 ;7 ;19942 ;789 ;2172 
2 ;7 ;19942 ;783 ;2177 
2 ;7 ;19942 ;781 ;2179 
2 ;14 ;8432 ;186 ;429 
2 ;7 ;19943 ;787 ;2174 
2 ;14 ;8447 ;190 ;426 
2 ;18 ;14125 ;332 ;471 
2 ;18 ;14154 ;330 ;473 
2 ;7 ;20071 ;788 ;2191 
1 ;12 ;9964 ;261 ;644 
2 ;13 ;20254 ;404 ;1184 
2 ;13 ;20244 ;404 ;1184 
2 ;16 ;10120 ;203 ;441 
-----------;------------
moves;13.0
times;14512.65
timeP1Move;402.2
timeP2Move;1010.15
AlphaBeta;2
AlphaBeta;18
draws;0
