Winner;Moves;Time;P1 time;P2 time
2 ;19 ;8302 ;176 ;269 
2 ;17 ;2552 ;48 ;104 
2 ;18 ;4286 ;92 ;151 
2 ;19 ;8302 ;177 ;269 
2 ;19 ;2240 ;33 ;85 
2 ;19 ;8291 ;175 ;269 
2 ;19 ;2250 ;32 ;87 
2 ;17 ;2552 ;44 ;107 
1 ;17 ;2422 ;50 ;100 
2 ;18 ;4286 ;93 ;149 
2 ;19 ;2235 ;33 ;86 
2 ;19 ;8307 ;175 ;270 
2 ;18 ;4286 ;93 ;149 
1 ;17 ;2422 ;48 ;102 
2 ;19 ;2255 ;31 ;89 
2 ;19 ;2234 ;33 ;86 
1 ;17 ;2427 ;48 ;103 
2 ;19 ;2250 ;32 ;88 
2 ;17 ;2552 ;44 ;107 
2 ;10 ;4365 ;182 ;272 
-----------;------------
moves;17.8
times;3940.8
timeP1Move;81.95
timeP2Move;147.1
AlphaBeta;3
AlphaBeta;17
draws;0
