Winner;Moves;Time;P1 time;P2 time
2 ;11 ;375 ;15 ;19 
2 ;17 ;270 ;3 ;12 
0 ;21 ;469 ;8 ;14 
2 ;17 ;156 ;3 ;5 
0 ;21 ;469 ;8 ;14 
2 ;17 ;266 ;6 ;9 
0 ;21 ;468 ;9 ;13 
0 ;21 ;469 ;7 ;14 
2 ;17 ;203 ;2 ;9 
2 ;17 ;157 ;5 ;3 
0 ;21 ;468 ;7 ;14 
2 ;17 ;203 ;3 ;8 
2 ;16 ;344 ;12 ;9 
2 ;17 ;203 ;4 ;8 
2 ;17 ;203 ;4 ;7 
2 ;17 ;157 ;4 ;4 
2 ;17 ;172 ;2 ;8 
2 ;17 ;218 ;3 ;9 
2 ;16 ;349 ;6 ;15 
2 ;16 ;344 ;6 ;15 
-----------;------------
moves;17.55
times;298.15
timeP1Move;5.85
timeP2Move;10.45
AlphaBeta;0
AlphaBeta;15
draws;5
