depth;moves;time;P1 times;P2 times;p1 win;p2 win;draws
1;4.6;0.0;0.0;0.0;12;8;0
2;19.9;1.55;0.0;0.05;3;4;13
3;7.75;3.15;0.05;0.15;16;4;0
4;19.0;19.5;0.05;0.2;9;11;0
5;16.15;89.1;1.75;3.95;14;2;4
6;17.55;298.15;5.85;10.45;0;15;5
7;16.45;1311.4;31.95;55.75;9;11;0
8;17.8;3940.8;81.95;147.1;3;17;0
9;13.0;14512.65;402.2;1010.15;2;18;0
10;17.75;39464.5;727.05;1568.05;3;14;3
