Winner;Moves;Time;P1 time;P2 time
2 ;11 ;1812 ;64 ;106 
1 ;21 ;1578 ;29 ;49 
2 ;13 ;1349 ;33 ;72 
2 ;13 ;797 ;25 ;37 
1 ;21 ;1563 ;29 ;48 
2 ;14 ;1547 ;42 ;71 
1 ;20 ;875 ;16 ;29 
1 ;21 ;1567 ;30 ;47 
1 ;20 ;875 ;18 ;27 
2 ;11 ;1813 ;64 ;106 
1 ;20 ;880 ;17 ;29 
2 ;13 ;797 ;22 ;40 
2 ;13 ;796 ;20 ;41 
1 ;21 ;1563 ;29 ;48 
2 ;18 ;1328 ;27 ;47 
2 ;13 ;786 ;22 ;40 
2 ;13 ;1360 ;31 ;75 
2 ;11 ;1812 ;65 ;104 
1 ;21 ;1568 ;28 ;50 
1 ;21 ;1562 ;28 ;49 
-----------;------------
moves;16.45
times;1311.4
timeP1Move;31.95
timeP2Move;55.75
AlphaBeta;9
AlphaBeta;11
draws;0
