depth;moves;time;P1 times;P2 times;p1 win;p2 win;draws
1;4.05;1.55;0.25;0.05;20;0;0
2;4.1;2.95;0.6;0.0;20;0;0
3;4.0;6.75;1.75;0.0;20;0;0
4;5.15;11.5;2.45;0.0;20;0;0
5;4.0;17.35;5.35;0.05;20;0;0
6;4.0;35.8;11.6;0.05;20;0;0
7;5.8;505.9;124.6;0.0;20;0;0
8;4.4;956.9;241.4;0.0;20;0;0
