Winner;Moves;Time;P1 time;P2 time
1 ;4 ;570 ;190 ;0 
1 ;4 ;555 ;185 ;0 
1 ;4 ;565 ;188 ;0 
1 ;4 ;590 ;196 ;0 
1 ;6 ;2968 ;593 ;0 
1 ;6 ;2840 ;568 ;0 
1 ;6 ;2800 ;560 ;0 
1 ;4 ;590 ;196 ;0 
1 ;4 ;720 ;240 ;0 
1 ;4 ;320 ;106 ;0 
1 ;4 ;310 ;103 ;0 
1 ;4 ;180 ;60 ;0 
1 ;4 ;180 ;60 ;0 
1 ;6 ;2979 ;595 ;0 
1 ;4 ;261 ;87 ;0 
1 ;4 ;530 ;176 ;0 
1 ;4 ;170 ;56 ;0 
1 ;4 ;525 ;175 ;0 
1 ;4 ;695 ;231 ;0 
1 ;4 ;790 ;263 ;0 
-----------;------------
moves;4.4
times;956.9
timeP1Move;241.4
timeP2Move;0.0
AlphaBeta;20
NegaScout;0
draws;0
