MM;moves winner;time game;AB time;MM time;AB win;MM win;draws
1;5.1;9170.5;2630.0;0.0;10;0;0
2;8.9;15757.9;2142.5;0.0;7;3;0
3;6.5;8878.3;2144.2;0.1;10;0;0
4;16.9;29670.9;2055.2;1.6;8;2;0
5;10.7;35051.0;3679.7;21.0;10;0;0
6;16.9;26796.7;1676.9;122.6;5;3;2
7;18.9;27245.3;913.4;683.2;10;0;0
