MM;moves winner;time game;AB time;MM time;AB win;MM win;draws
1;4.0;26.6;8.5;0.0;10;0;0
2;9.1;82.8;9.8;0.1;10;0;0
3;4.0;31.2;9.5;0.5;10;0;0
4;13.0;209.4;15.9;2.5;9;1;0
5;14.9;516.1;16.0;20.7;10;0;0
6;13.7;1763.0;17.2;140.5;9;1;0
7;17.3;12866.3;14.9;756.9;4;4;2
