MM;moves winner;time game;AB time;MM time;AB win;MM win;draws
1;4.1;0.0;0.0;0.0;10;0;0
2;10.5;1.5;0.0;0.1;9;1;0
3;15.9;6.3;0.0;0.2;6;0;4
4;15.3;45.3;0.0;2.8;5;2;3
5;14.1;292.7;0.0;20.8;1;9;0
6;12.8;1662.4;0.1;139.6;3;7;0
7;14.7;10876.8;0.0;811.9;3;7;0
