MM;moves winner;time game;AB time;MM time;AB win;MM win;draws
1;4.8;300.0;64.3;0.0;10;0;0
2;10.5;755.7;63.0;0.0;6;4;0
3;6.7;217.2;43.4;1.0;10;0;0
4;11.5;727.6;70.8;2.9;9;0;1
5;14.0;1190.0;64.9;21.6;9;1;0
6;17.0;2585.4;53.4;111.8;10;0;0
7;13.9;10801.7;71.6;719.4;1;9;0
