MM;moves winner;time game;AB time;MM time;AB win;MM win;draws
1;4.1;0.0;0.0;0.0;10;0;0
2;6.0;1.5;0.0;0.2;2;8;0
3;5.1;3.2;0.0;0.5;1;9;0
4;5.4;20.3;0.0;3.4;0;10;0
5;7.2;181.2;0.2;24.7;0;10;0
6;8.1;1202.6;0.0;161.3;0;10;0
7;6.6;7912.8;0.0;1188.5;0;10;0
