MM;moves winner;time game;AB time;MM time;AB win;MM win;draws
1;5.3;3173.3;793.6;0.0;10;0;0
2;7.7;8034.7;1074.3;0.0;10;0;0
3;7.0;4029.0;734.0;0.1;10;0;0
4;15.7;9950.8;641.1;2.5;10;0;0
5;9.6;10670.0;1242.6;26.0;9;1;0
6;14.2;10204.2;671.0;137.6;10;0;0
7;18.7;14860.7;213.1;608.7;5;5;0
