MM;moves winner;time game;AB time;MM time;AB win;MM win;draws
1;4.6;600.5;142.1;0.0;10;0;0
2;9.1;1658.6;188.3;0.0;10;0;0
3;9.4;1406.2;165.5;0.2;10;0;0
4;17.9;2443.2;137.1;2.7;8;2;0
5;16.1;5641.4;356.7;20.0;10;0;0
6;16.5;3544.1;106.2;120.1;9;0;1
7;18.4;14260.1;190.1;620.4;3;4;3
