MM;moves winner;time game;AB time;MM time;AB win;MM win;draws
1;4.3;1.6;0.4;0.0;10;0;0
2;17.0;12.5;0.2;0.2;8;2;0
3;12.6;10.9;0.0;0.2;8;0;2
4;13.0;48.4;0.5;2.7;1;7;2
5;16.8;295.9;0.5;17.5;1;9;0
6;15.3;1735.9;0.0;126.0;1;7;2
7;14.4;12845.8;0.7;903.3;0;10;0
