MM;moves winner;time game;AB time;MM time;AB win;MM win;draws
1;4.0;9.4;3.0;0.0;10;0;0
2;6.1;20.3;3.7;0.0;9;1;0
3;7.4;26.6;3.8;0.0;10;0;0
4;15.3;98.4;3.5;2.8;5;3;2
5;10.3;277.1;6.1;23.2;7;3;0
6;15.3;1901.5;3.8;130.2;2;8;0
7;14.0;11094.4;4.1;855.1;2;8;0
