MM;moves winner;time game;AB time;MM time;AB win;MM win;draws
1;4.0;0.0;0.0;0.0;10;0;0
2;9.2;1.5;0.1;0.0;8;2;0
3;6.6;6.3;0.1;0.7;6;4;0
4;15.4;45.3;0.0;2.8;4;6;0
5;13.7;284.9;0.2;21.8;7;3;0
6;13.4;1848.4;0.1;144.0;2;8;0
7;11.7;10263.7;0.1;967.1;0;10;0
