AB;moves winner;time game;MM time;AB time;MM win;AB win;draws
1;7.5;17.2;2.4;0.0;10;0;0
2;15.1;29.7;1.8;0.0;7;2;1
3;13.5;26.6;1.9;0.0;5;3;2
4;19.5;37.5;0.6;0.1;0;6;4
5;17.0;45.8;1.6;0.4;7;3;0
6;18.3;89.0;1.0;3.0;2;4;4
7;14.1;184.5;2.1;10.7;4;6;0
8;15.0;822.9;1.7;70.7;1;6;3
9;16.4;1684.3;1.8;101.3;0;8;2
10;15.3;10385.2;2.0;673.0;0;10;0
