AB;moves winner;time game;MM time;AB time;MM win;AB win;draws
1;10.3;1.6;0.0;0.1;10;0;0
2;19.8;1.5;0.0;0.0;0;3;7
3;17.9;3.2;0.0;0.0;10;0;0
4;19.1;6.2;0.0;0.0;4;4;2
5;15.5;21.9;0.1;0.8;0;8;2
6;17.5;59.4;0.0;3.3;4;4;2
7;13.8;178.1;0.1;12.3;0;10;0
8;18.3;583.8;0.0;33.2;3;4;3
9;17.4;1751.5;0.0;123.1;1;7;2
10;16.2;8743.1;0.0;579.8;0;10;0
