AB;moves winner;time game;MM time;AB time;MM win;AB win;draws
1;7.2;661.5;109.2;0.0;10;0;0
2;9.4;670.8;97.9;0.2;8;2;0
3;8.1;674.4;101.5;0.3;10;0;0
4;18.4;1257.3;72.0;0.0;8;1;1
5;14.9;1346.8;100.5;1.3;9;1;0
6;19.7;1307.8;67.9;3.2;4;1;5
7;17.3;1379.1;81.2;11.0;0;7;3
8;17.3;2485.3;90.9;57.5;2;7;1
9;14.9;2678.0;87.9;110.0;2;8;0
10;14.9;15521.9;117.8;1030.4;0;10;0
