AB;moves winner;time game;MM time;AB time;MM win;AB win;draws
1;6.6;0.0;0.0;0.0;2;8;0
2;12.8;1.5;0.0;0.1;0;10;0
3;8.4;1.6;0.4;0.0;0;10;0
4;6.6;3.1;0.0;0.5;0;10;0
5;8.3;9.4;0.0;1.2;0;10;0
6;8.4;45.8;0.0;5.7;0;10;0
7;8.7;112.5;0.2;14.1;2;8;0
8;7.2;392.7;0.0;61.4;0;10;0
9;8.2;1218.2;0.0;154.7;0;10;0
10;9.0;5917.0;0.0;686.9;0;10;0
