AB;moves winner;time game;MM time;AB time;MM win;AB win;draws
1;7.6;110.9;16.3;0.1;10;0;0
2;11.8;146.9;14.2;0.0;8;0;2
3;9.3;159.9;19.8;0.2;7;3;0
4;19.3;193.8;9.6;0.1;0;4;6
5;17.8;283.3;16.0;0.7;3;4;3
6;18.0;243.7;10.3;2.9;6;2;2
7;18.1;522.4;13.7;16.6;6;4;0
8;14.0;905.7;19.8;48.5;0;10;0
9;14.9;5441.5;18.2;325.6;2;8;0
10;16.7;17413.1;15.7;1103.5;0;10;0
