Winner;Moves;Time;P1 time;P2 time
2 ;21 ;922 ;24 ;20 
1 ;7 ;359 ;28 ;31 
2 ;21 ;938 ;25 ;20 
2 ;18 ;859 ;23 ;25 
2 ;18 ;849 ;26 ;22 
1 ;11 ;687 ;35 ;32 
2 ;9 ;579 ;35 ;33 
2 ;21 ;921 ;25 ;20 
2 ;21 ;938 ;24 ;21 
2 ;21 ;937 ;23 ;22 
-----------;------------
moves;16.8
times;798.9
timeP1Move;26.8
timeP2Move;24.6
MinMax;2
MinMax;8
draws;0
