depth;moves;time;P1 times;P2 times;p1 win;p2 win;draws
1;4.3;0.0;0.0;0.0;10;0;0
2;9.7;1.5;0.1;0.0;6;4;0
3;7.7;7.8;0.5;0.6;9;1;0
4;17.7;92.3;2.4;2.3;2;7;1
5;16.8;798.9;26.8;24.6;2;8;0
6;15.7;4300.0;148.2;149.6;6;4;0
7;17.5;24645.0;764.5;762.2;0;8;2
