depth;moves;time;P1 times;P2 times;p1 win;p2 win;draws
1;7.1;3.1;0.3;0.0;2;8;0
2;20.2;21.9;0.2;0.1;2;2;6
3;12.4;20.3;0.9;0.5;10;0;0
4;19.4;26.6;0.5;0.1;0;5;5
5;17.9;81.7;2.1;1.8;4;3;3
6;19.4;139.1;2.8;4.1;7;1;2
7;17.4;901.0;26.3;28.0;2;8;0
8;15.5;1696.9;62.8;59.8;3;6;1
9;15.4;11136.2;475.1;344.0;4;6;0
10;16.8;19195.8;568.4;572.8;2;6;2
