Winner;Moves;Time;P1 time;P2 time
2 ;13 ;30046 ;618 ;1740 
2 ;13 ;29780 ;807 ;1545 
2 ;13 ;30062 ;617 ;1742 
1 ;20 ;37176 ;462 ;1494 
0 ;21 ;31327 ;495 ;1019 
2 ;13 ;29780 ;806 ;1546 
2 ;13 ;29765 ;803 ;1548 
2 ;19 ;47832 ;831 ;1729 
1 ;20 ;37223 ;462 ;1496 
1 ;20 ;37180 ;465 ;1491 
-----------;------------
moves;16.5
times;34017.1
timeP1Move;636.6
timeP2Move;1535.0
AlphaBeta;3
AlphaBeta;6
draws;1
