depth;moves;time;P1 times;P2 times;p1 win;p2 win;draws
1;4.3;0.0;0.0;0.0;3;7;0
2;19.0;1.5;0.0;0.0;3;2;5
3;8.8;3.1;0.2;0.0;8;2;0
4;18.5;20.3;0.2;0.3;4;6;0
5;16.6;89.1;2.0;3.2;5;1;4
6;16.3;273.9;6.3;10.6;0;10;0
7;15.5;1226.0;31.2;56.3;3;7;0
8;17.2;4399.9;99.3;167.7;2;8;0
9;12.8;11863.7;338.1;826.5;1;9;0
10;18.6;34360.8;562.7;1376.0;3;3;4
