MM;moves winner;time game;AB time;MM time;AB win;MM win;draws
1;4.1;0.0;0.0;0.0;10;0;0
2;6.0;0.0;0.0;0.0;0;10;0
3;5.7;4.7;0.0;0.5;3;7;0
4;7.3;32.8;0.0;3.9;1;9;0
5;6.0;193.8;0.0;32.0;0;10;0
6;6.1;1147.9;0.0;196.9;0;10;0
7;8.4;8313.3;0.0;1233.5;0;10;0
